latitude,longtitude,depth,temperature,time
,,0.749,28.2,1782049983964
44.16175666666666,8.33492,0.791,0.0,1782049984000
,,0.791,28.2,1782049984048
,,0.822,28.2,1782049984130
,,0.864,28.2,1782049984225
,,0.926,28.2,1782049984304
,,0.968,28.2,1782049984463
,,0.978,28.2,1782049984546
,,0.999,28.2,1782049984629
,,1.041,28.2,1782049984715
,,1.093,28.2,1782049984795
,,1.134,28.2,1782049984878
,,1.186,28.2,1782049984961
44.16175499999999,8.334918333333333,1.218,0.0,1782049985000
,,1.218,28.2,1782049985044
,,1.228,28.2,1782049985129
,,1.186,28.2,1782049985236
,,1.145,28.2,1782049985293
,,1.093,28.2,1782049985376
,,1.051,28.2,1782049985462
,,1.030,28.2,1782049985542
,,1.020,28.2,1782049985625
,,0.968,28.2,1782049985709
,,0.916,28.2,1782049985844
,,0.864,28.2,1782049985874
,,0.812,28.2,1782049985956
44.16175499999999,8.334915,0.760,0.0,1782049986000
,,0.760,28.2,1782049986041
,,0.739,28.2,1782049986122
,,0.739,28.2,1782049986205
,,0.739,28.2,1782049986288
,,0.760,28.2,1782049986371
,,0.781,28.2,1782049986455
,,0.781,28.2,1782049986537
,,0.791,28.2,1782049986620
,,0.812,28.2,1782049986724
,,0.833,28.2,1782049986787
,,0.853,28.2,1782049986870
,,0.895,28.2,1782049986954
44.16175666666666,8.334915,0.937,0.0,1782049987000
,,0.937,28.2,1782049987037
,,0.968,28.2,1782049987120
,,0.989,28.2,1782049987204
,,1.009,28.2,1782049987286
,,1.020,28.2,1782049987370
,,1.020,28.2,1782049987454
,,1.020,28.2,1782049987536
,,1.009,28.2,1782049987624
,,0.999,28.2,1782049987704
,,0.968,28.2,1782049987783
,,0.978,28.2,1782049987866
,,0.978,28.2,1782049987949
44.16175666666666,8.334915,0.957,0.0,1782049988000
,,0.957,28.2,1782049988032
,,0.926,28.2,1782049988115
,,0.916,28.2,1782049988237
,,0.905,28.2,1782049988281
,,0.864,28.2,1782049988428
,,0.843,28.2,1782049988452
,,0.822,28.2,1782049988638
,,0.812,28.2,1782049988638
,,0.791,28.2,1782049988779
,,0.791,28.2,1782049988940
,,0.760,28.2,1782049988964
44.16175,8.334918333333333,0.749,0.0,1782049989000
,,0.749,28.2,1782049989042
,,0.770,28.2,1782049989145
,,0.781,28.2,1782049989206
,,0.791,28.2,1782049989355
,,0.812,28.2,1782049989375
,,0.833,28.2,1782049989453
,,0.874,28.2,1782049989557
,,0.885,28.2,1782049989611
,,0.905,28.2,1782049989759
